level;speciesKey;lat;lon;HFP09;Elevation;continents;IUCNonly;broad;broad;broad;broad;broad;broad;broad;broad;broad;broad;detail;detail;detail;detail;detail;detail;detail;detail;detail;detail
Dispersal;;;;;;;;False;False;False;False;False;True;True;True;True;True;False;False;False;False;False;True;True;True;True;True
time_period;;;;;;;;Present;2021/2040;2041/2060;2061/2080;2081/2100;Present;2021/2040;2041/2060;2061/2080;2081/2100;Present;2021/2040;2041/2060;2061/2080;2081/2100;Present;2021/2040;2041/2060;2061/2080;2081/2100
species;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aa achalensis;5325296;-31.75515833333333;-64.86915833333333;7.11071185270946;1047.9166666666667;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Aa argyrolepis;5325293;-0.9502;-78.5763;3.59365137418111;3315.3333333333335;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;EN
Aa calceata;5325297;-10.871;-73.3415;7.939881145954111;2840.5;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Aa colombiana;5325285;2.809215384615385;-76.16154615384616;8.487577621753392;3709.076923076923;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Aa denticulata;5325270;-0.7999999999999999;-78.61113333333333;8.1909392674764;3492.3333333333335;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;EN
Aa fiebrigii;5325281;-19.625366666666668;-64.65390000000001;6.523048877716067;1688.6666666666667;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Aa hartwegii;5325291;1.6136624999999998;-76.56139999999999;13.64980924129486;3374.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Aa hieronymi;5325292;-26.78465;-64.8359;6.982614994049075;2166.5;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;EN;EN;EN;LC;LC;LC;LC;LC;LC;LC
Aa leucantha;5325274;2.60171;-75.90584;10.93927068710328;3609.6;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Aa macra;5325283;-0.0875;-78.5083;8.31477403640747;3209.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;EN
Aa maderoi;5325287;-0.030703846153846137;-78.13544230769232;10.749013423919681;3294.269230769231;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Aa mandonii;5325290;-14.8228;-68.1911;1.25021421909332;1774.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;EXT;EXT;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;EXT;EXT;LC;LC;LC;LC;LC
Aa matthewsii;5325271;-10.649013333333333;-75.44440666666667;7.751142307122548;3291.266666666667;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Aa microtidis;5325288;-21.6;-65.0833;5.43670129776001;3913.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;EN;EN;EN;EN;EN;LC;LC;LC;EN;LC
Aa paleacea;5325289;0.8182024390243903;-78.27424634146341;13.322623805301943;3217.1951219512193;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Aa riobambae;5325286;-1.495825;-78.57917499999999;8.515449702739717;3546.0;{'SOUTHERN AMERICA'};False;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Aa sphaeroglossa;5325276;-21.6;-65.0833;5.43670129776001;3913.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;EN;EN;EN;EN;EN;LC;LC;LC;LC;LC
Aa trilobulata;5325277;-14.605;-69.1203;10.0;3794.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;EN;EN;EN;EN;EN;EN;EN;EN;EN;EN
Aa weddelliana;5325282;-22.24122;-65.071;2.6;2583.4;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Abdominea minimiflora;9473932;13.2536;101.0627;8.36655426025391;638.0;{'ASIA-TROPICAL'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;EN;EN;EN;EN;CR;EN;EN;EN;EN;EN
Acampe ochracea;2781924;12.9137;100.62986666666666;25.666666666666668;81.33333333333333;{'ASIA-TROPICAL'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;EN;EN;EN;EN;EN;EN;EN;EN;EN;LC
Acampe pachyglossa;2781949;-13.906781196581196;40.89659401709402;9.745690992604134;377.6068376068376;{'AFRICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acampe praemorsa;2781961;16.50674;73.78416;25.04122695922852;73.4;{'ASIA-TROPICAL'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;EN;EN;EN;EN;EN;EN;EN;EN;EN;EN
