species;speciesKey;lat;lon;HFP09;Elevation;continents;Status;IUCNonly;time_period
Aa mandonii;5325290;-14.8228;-68.1911;1.25021421909332;1774.0;{'SOUTHERN AMERICA'};EXT;False;2061/2080
Acianthera duartei;2839600;-20.1114;-43.4817;4.26244497299194;1294.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Acianthera dutrae;2839534;-27.55;-50.35;21.5572185516357;867.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Aerangis gracillima;2836922;2.76564;11.071299999999999;4.178555130958558;607.2;{'AFRICA'};EXT;True;2041/2060
Agrostophyllum kerenganum;7465420;-3.0167;141.15;6.0;168.0;{'ASIA-TROPICAL'};EXT;False;2061/2080
Agrostophyllum lampongense;2802886;-3.3;102.4167;21.0;913.0;{'ASIA-TROPICAL'};EXT;False;2081/2100
Anathallis papuligera;2782764;-16.7261;-64.435;3.0;211.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Ancistrorhynchus crystalensis;5313959;0.8795625;9.934725;2.5989823788404474;500.0;{'AFRICA'};EXT;True;2041/2060
Ancistrorhynchus schumannii;5313942;2.9027111111111115;9.889522222222222;7.573909150229558;488.77777777777777;{'AFRICA'};EXT;False;2041/2060
Ancistrorhynchus serratus;5313943;5.179207142857143;9.76367857142857;8.515849351882933;1610.7142857142858;{'AFRICA'};EXT;True;2041/2060
Angraecopsis cryptantha;2804531;4.13;9.17;7.31883525848389;1678.0;{'AFRICA'};EXT;True;2041/2060
Angraecopsis elliptica;2804548;5.107633333333333;9.705016666666667;14.137532869974775;1181.3333333333333;{'AFRICA'};EXT;False;2041/2060
Angraecopsis lisowskii;2804536;6.207739999999999;10.155100000000001;7.751076984405517;1231.0;{'AFRICA'};EXT;True;2041/2060
Angraecum angustum;2833522;2.85615;10.38555;5.3282408714294425;736.5;{'AFRICA'};EXT;True;2041/2060
Angraecum claessensii;2833786;1.9112625;22.8;10.846161484718316;422.25;{'AFRICA'};EXT;False;2041/2060
Angraecum curvipes;2833766;2.7558499999999997;10.95515;10.0;598.0;{'AFRICA'};EXT;True;2041/2060
Angraecum doratophyllum;2833741;0.2769333333333333;6.6147;7.521608193715413;1055.0;{'AFRICA'};EXT;True;2041/2060
Angraecum egertonii;2833760;5.214300000000001;9.822433333333334;7.5308931668599435;586.6666666666666;{'AFRICA'};EXT;True;2041/2060
Angraecum lisowskianum;2833476;6.1667;9.8833;8.27992057800293;1485.0;{'AFRICA'};EXT;False;2041/2060
Angraecum palmicola;3654738;-17.975;47.2;6.29672813415527;1158.0;{'AFRICA'};EXT;False;2081/2100
Angraecum reygaertii;2833667;1.8464071428571427;25.18597857142857;7.098252875464303;595.5714285714286;{'AFRICA'};EXT;False;2041/2060
Angraecum sanfordii;2833701;4.819975;9.701525;7.688408732414253;1118.0;{'AFRICA'};EXT;True;2041/2060
Anoectochilus sumatranus;5308535;4.0;97.0;2.25133013725281;1573.0;{'ASIA-TROPICAL'};EXT;False;2081/2100
Bolusiella zenkeri;2812594;3.0833;10.4167;12.0;92.0;{'AFRICA'};EXT;False;2041/2060
Brassavola rhomboglossa;5314180;-16.3169;-48.1211;11.7997102737427;933.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Brassia peruviana;5323875;-9.1638;-74.3756;1.21962940692902;165.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Brassia pozoi;5321832;-0.5816;-77.8727;5.72822380065918;1959.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Bulbophyllum acutebracteatum;7320402;1.95004;11.06128;5.052949786186218;636.8;{'AFRICA'};EXT;False;2041/2060
Bulbophyllum bifarium;2845704;4.908945454545455;9.919727272727272;10.38490464470603;1461.7272727272727;{'AFRICA'};EXT;True;2041/2060
Bulbophyllum calvum;2842879;4.878728571428572;9.390057142857144;6.693885122026717;747.7142857142857;{'AFRICA'};EXT;True;2041/2060
