"species","status"
"Aa achalensis","Not Threatened"
"Aa argyrolepis","Threatened"
"Aa calceata","Not Threatened"
"Aa colombiana","Not Threatened"
"Aa denticulata","Not Threatened"
"Aa fiebrigii","Not Threatened"
"Aa hartwegii","Not Threatened"
"Aa hieronymi","Threatened"
"Aa leucantha","Not Threatened"
"Aa macra","Not Threatened"
"Aa maderoi","Not Threatened"
"Aa mandonii","Threatened"
"Aa matthewsii","Not Threatened"
"Aa microtidis","Threatened"
"Aa paleacea","Not Threatened"
"Aa riobambae","Not Threatened"
"Aa sphaeroglossa","Threatened"
"Aa trilobulata","Threatened"
"Aa weddelliana","Not Threatened"
"Abdominea minimiflora","Threatened"
"Acampe ochracea","Threatened"
"Acampe pachyglossa","Not Threatened"
"Acampe praemorsa","Threatened"
"Acampe rigida","Threatened"
"Acanthophippium striatum","Threatened"
"Acianthera adamantinensis","Not Threatened"
"Acianthera angustifolia","Not Threatened"
"Acianthera angustisepala","Not Threatened"
"Acianthera aphthosa","Not Threatened"
"Acianthera auriculata","Not Threatened"
"Acianthera bidentula","Not Threatened"
"Acianthera binotii","Threatened"
"Acianthera bragae","Not Threatened"
"Acianthera capillaris","Not Threatened"
"Acianthera chrysantha","Threatened"
"Acianthera ciliata","Not Threatened"
"Acianthera circumplexa","Not Threatened"
"Acianthera cogniauxiana","Not Threatened"
"Acianthera cordatifolia","Threatened"
"Acianthera crinita","Threatened"
"Acianthera cryptantha","Not Threatened"
"Acianthera cryptophoranthoides","Threatened"
"Acianthera decipiens","Not Threatened"
"Acianthera decurrens","Threatened"
"Acianthera discophylla","Not Threatened"
"Acianthera duartei","Threatened"
"Acianthera dutrae","Threatened"
"Acianthera ellipsophylla","Not Threatened"
"Acianthera erebatensis","Threatened"
"Acianthera erosa","Threatened"
"Acianthera erythrogramma","Threatened"
"Acianthera exarticulata","Not Threatened"
"Acianthera eximia","Not Threatened"
"Acianthera fabiobarrosii","Not Threatened"
"Acianthera fenestrata","Threatened"
"Acianthera fockei","Not Threatened"
"Acianthera fornograndensis","Threatened"
"Acianthera geminicaulina","Threatened"
"Acianthera glanduligera","Threatened"
"Acianthera glumacea","Not Threatened"
"Acianthera gracilisepala","Not Threatened"
"Acianthera heringeri","Threatened"
"Acianthera herzogii","Threatened"
"Acianthera hirsutula","Not Threatened"
"Acianthera hoffmannseggiana","Threatened"
"Acianthera hondurensis","Not Threatened"
"Acianthera hygrophila","Not Threatened"
"Acianthera hystrix","Not Threatened"
"Acianthera johannensis","Not Threatened"
"Acianthera johnsonii","Threatened"
"Acianthera juxtaposita","Not Threatened"
"Acianthera klotzschiana","Not Threatened"
"Acianthera leptotifolia","Not Threatened"
"Acianthera limae","Not Threatened"
"Acianthera lojae","Not Threatened"
"Acianthera luteola","Not Threatened"
"Acianthera macropoda","Not Threatened"
"Acianthera majakoluckae","Threatened"
"Acianthera malachantha","Threatened"
"Acianthera micrantha","Threatened"
"Acianthera miqueliana","Not Threatened"
"Acianthera modestissima","Not Threatened"
"Acianthera murexoidea","Threatened"
"Acianthera nemorosa","Not Threatened"
"Acianthera ochreata","Not Threatened"
"Acianthera octophrys","Threatened"
"Acianthera oligantha","Not Threatened"
"Acianthera panduripetala","Not Threatened"
"Acianthera pantasmi","Not Threatened"
"Acianthera pardipes","Threatened"
"Acianthera parva","Threatened"
"Acianthera pectinata","Not Threatened"
"Acianthera polystachya","Not Threatened"
"Acianthera prolifera","Not Threatened"
"Acianthera pubescens","Not Threatened"
"Acianthera quadriserrata","Not Threatened"
"Acianthera ramosa","Threatened"
"Acianthera recurva","Not Threatened"
"Acianthera rostellata","Threatened"
"Acianthera saundersiana","Not Threatened"
"Acianthera saurocephala","Not Threatened"
"Acianthera serpentula","Threatened"
"Acianthera sicaria","Not Threatened"
"Acianthera sonderiana","Not Threatened"
"Acianthera strupifolia","Not Threatened"
"Acianthera teres","Not Threatened"
"Acianthera tikalensis","Threatened"
"Acianthera translucida","Not Threatened"
"Acianthera tristis","Threatened"
"Acianthera unguicallosa","Threatened"
"Acianthera violaceomaculata","Threatened"
"Acianthera wageneriana","Not Threatened"
"Acianthera yauaperyensis","Threatened"
"Acianthus aegeridantennatus","Not Threatened"
"Acianthus amplexicaulis","Not Threatened"
"Acianthus atepalus","Not Threatened"
"Acianthus bracteatus","Threatened"
"Acianthus caudatus","Not Threatened"
"Acianthus confusus","Not Threatened"
"Acianthus corniculatus","Not Threatened"
"Acianthus cymbalariifolius","Not Threatened"
"Acianthus elegans","Not Threatened"
"Acianthus exsertus","Not Threatened"
"Acianthus fornicatus","Not Threatened"
"Acianthus grandiflorus","Not Threatened"
"Acianthus halleanus","Not Threatened"
"Acianthus heptadactylus","Not Threatened"
"Acianthus macroglossus","Not Threatened"
"Acianthus sinclairii","Not Threatened"
"Acianthus tenuilabris","Not Threatened"
"Acianthus veillonis","Not Threatened"
"Acineta alticola","Not Threatened"
"Acineta barkeri","Not Threatened"
"Acineta chrysantha","Not Threatened"
"Acineta cryptodonta","Threatened"
"Acineta densa","Not Threatened"
"Acineta hagsateri","Not Threatened"
"Acineta hrubyana","Not Threatened"
"Acineta salazarii","Not Threatened"
"Acineta superba","Threatened"
"Acriopsis densiflora","Threatened"
"Acriopsis emarginata","Not Threatened"
"Acriopsis gracilis","Threatened"
"Acriopsis indica","Threatened"
"Acriopsis liliifolia","Not Threatened"
"Acriopsis ridleyi","Threatened"
"Acrolophia bolusii","Not Threatened"
"Acrolophia capensis","Not Threatened"
"Acrolophia cochlearis","Not Threatened"
"Acrolophia lamellata","Not Threatened"
"Acrolophia lunata","Not Threatened"
"Acrolophia micrantha","Threatened"
"Acrolophia ustulata","Not Threatened"
"Acrorchis roseola","Not Threatened"
"Adenochilus gracilis","Not Threatened"
"Adenochilus nortonii","Not Threatened"
"Adenoncos buruensis","Threatened"
"Adenoncos celebica","Threatened"
"Adenoncos elongata","Threatened"
"Adenoncos major","Not Threatened"
"Adenoncos nasonioides","Threatened"
"Adenoncos papuana","Not Threatened"
"Adenoncos parviflora","Threatened"
"Adenoncos saccata","Threatened"
"Adenoncos sumatrana","Threatened"
"Adenoncos virens","Threatened"
"Adrorhizon purpurascens","Threatened"
"Aerangis alcicornis","Threatened"
"Aerangis appendiculata","Threatened"
"Aerangis arachnopus","Threatened"
"Aerangis articulata","Threatened"
"Aerangis biloba","Not Threatened"
"Aerangis brachycarpa","Not Threatened"
"Aerangis calantha","Threatened"
"Aerangis carnea","Threatened"
"Aerangis citrata","Not Threatened"
"Aerangis collum-cygni","Threatened"
"Aerangis concavipetala","Threatened"
"Aerangis confusa","Threatened"
"Aerangis coriacea","Threatened"
"Aerangis cryptodon","Threatened"
"Aerangis decaryana","Threatened"
"Aerangis distincta","Threatened"
"Aerangis divitiflora","Threatened"
"Aerangis ellisii","Not Threatened"
"Aerangis fastuosa","Threatened"
"Aerangis fuscata","Threatened"
"Aerangis gracillima","EXT"
"Aerangis gravenreuthii","Threatened"
"Aerangis hologlottis","Threatened"
"Aerangis hyaloides","Threatened"
"Aerangis jacksonii","Threatened"
"Aerangis kirkii","Threatened"
"Aerangis kotschyana","Not Threatened"
"Aerangis luteoalba","Threatened"
"Aerangis macrocentra","Threatened"
"Aerangis modesta","Not Threatened"
"Aerangis monantha","Threatened"
"Aerangis montana","Threatened"
"Aerangis mooreana","Threatened"
"Aerangis mystacidii","Not Threatened"
"Aerangis oligantha","Threatened"
"Aerangis pallidiflora","Threatened"
"Aerangis pulchella","Threatened"
"Aerangis punctata","Threatened"
"Aerangis rostellaris","Threatened"
"Aerangis seegeri","Threatened"
"Aerangis somalensis","Threatened"
"Aerangis spiculata","Threatened"
"Aerangis splendida","Threatened"
"Aerangis stelligera","Threatened"
"Aerangis stylosa","Threatened"
"Aerangis thomsonii","Not Threatened"
"Aerangis ugandensis","Threatened"
"Aerangis verdickii","Not Threatened"
"Aeranthes adenopoda","Threatened"
"Aeranthes aemula","Threatened"
