"species","status"
"Acianthera chrysantha","Not Threatened"
"Acianthera hondurensis","Not Threatened"
"Acianthera malachantha","Threatened"
"Acianthera saundersiana","Not Threatened"
"Aerangis gracillima","Not Threatened"
"Aerangis hyaloides","Not Threatened"
"Aerangis macrocentra","Threatened"
"Aerangis monantha","Threatened"
"Aerangis pallidiflora","Threatened"
"Aerangis punctata","Threatened"
"Aerangis seegeri","Threatened"
"Aeranthes angustidens","Threatened"
"Aeranthes antennophora","Threatened"
"Aeranthes ecalcarata","Threatened"
"Aeranthes leandriana","Threatened"
"Aeranthes multinodis","Threatened"
"Aeranthes polyanthemus","Threatened"
"Aeranthes schlechteri","Not Threatened"
"Aeranthes setipes","Not Threatened"
"Aeranthes strangulata","Threatened"
"Aeranthes tropophila","Threatened"
"Agrostophyllum cyathiforme","Not Threatened"
"Agrostophyllum laterale","Not Threatened"
"Altensteinia longispicata","Threatened"
"Amitostigma capitatum","Threatened"
"Amitostigma hemipilioides","Threatened"
"Amitostigma simplex","Threatened"
"Amitostigma tetralobum","Threatened"
"Anacamptis boryi","Not Threatened"
"Anacamptis palustris","Not Threatened"
"Anacamptis sancta","Not Threatened"
"Anathallis minutalis","Not Threatened"
"Ancistrochilus thomsonianus","Threatened"
"Ancistrorhynchus crystalensis","Threatened"
"Ancistrorhynchus laxiflorus","Threatened"
"Ancistrorhynchus parviflorus","Not Threatened"
"Ancistrorhynchus refractus","Threatened"
"Ancistrorhynchus serratus","Threatened"
"Ancistrorhynchus tenuicaulis","Threatened"
"Angraecopsis cryptantha","Threatened"
"Angraecopsis lisowskii","Not Threatened"
"Angraecopsis parva","Threatened"
"Angraecopsis tenerrima","Threatened"
"Angraecopsis tridens","Not Threatened"
"Angraecum alleizettei","Threatened"
"Angraecum amplexicaule","Threatened"
"Angraecum angustum","Threatened"
"Angraecum ankeranense","Threatened"
"Angraecum aporoides","Threatened"
"Angraecum atlanticum","Threatened"
"Angraecum bancoense","Not Threatened"
"Angraecum bicallosum","Threatened"
"Angraecum compactum","Threatened"
"Angraecum cornucopiae","Threatened"
"Angraecum coutrixii","Threatened"
"Angraecum cribbianum","Threatened"
"Angraecum curvipes","Threatened"
"Angraecum danguyanum","Threatened"
"Angraecum dendrobiopsis","Threatened"
"Angraecum distichum","Threatened"
"Angraecum doratophyllum","Not Threatened"
"Angraecum egertonii","Threatened"
"Angraecum gabonense","Not Threatened"
"Angraecum humbertii","Threatened"
"Angraecum humblotianum","Threatened"
"Angraecum mahavavense","Threatened"
"Angraecum moratii","Threatened"
"Angraecum obesum","Threatened"
"Angraecum penzigianum","Threatened"
"Angraecum perhumile","Threatened"
"Angraecum peyrotii","Threatened"
"Angraecum pinifolium","Threatened"
"Angraecum podochiloides","Not Threatened"
"Angraecum potamophilum","Threatened"
"Angraecum protensum","Not Threatened"
"Angraecum pseudodidieri","Threatened"
"Angraecum pseudofilicornu","Threatened"
"Angraecum pungens","Not Threatened"
"Angraecum pyriforme","Threatened"
"Angraecum rigidifolium","Threatened"
"Angraecum rubellum","Threatened"
"Angraecum sambiranoense","Threatened"
"Angraecum sanfordii","Threatened"
"Angraecum serpens","Threatened"
"Angraecum setipes","Threatened"
"Angraecum sterrophyllum","Threatened"
"Angraecum subulatum","Not Threatened"
"Angraecum triangulifolium","Threatened"
"Anguloa cliftonii","Threatened"
"Anoectochilus sandvicensis","Threatened"
"Anoectochilus zhejiangensis","Threatened"
"Ansellia africana","Threatened"
"Appendicula calcarata","Not Threatened"
"Appendicula longirostrata","Not Threatened"
"Appendicula tenuispica","Not Threatened"
"Arethusa bulbosa","Not Threatened"
"Barbosella geminata","Not Threatened"
"Barkeria naevosa","Threatened"
"Bartholina etheliae","Not Threatened"
"Basiphyllaea corallicola","Not Threatened"
"Benthamia calceolata","Threatened"
"Benthamia elata","Threatened"
"Benthamia glaberrima","Threatened"
"Benthamia humbertii","Threatened"
"Benthamia monophylla","Not Threatened"
"Benthamia nigrescens","Threatened"
"Benthamia nivea","Threatened"
"Benthamia perularioides","Threatened"
"Benthamia praecox","Threatened"
"Benthamia procera","Threatened"
"Benthamia rostrata","Threatened"
"Bletia ensifolia","Not Threatened"
"Brachionidium dressleri","Threatened"
"Brachionidium pteroglossum","Threatened"
"Brachycorythis disoides","Threatened"
"Brassia lanceana","Not Threatened"
"Brassia maculata","Not Threatened"
"Brassia verrucosa","Not Threatened"
"Brassia wageneri","Not Threatened"
"Bromheadia finlaysoniana","Not Threatened"
"Broughtonia negrilensis","Threatened"
"Bryobium eriaeoides","Not Threatened"
"Bulbophyllum aggregatum","Threatened"
"Bulbophyllum alveatum","Not Threatened"
"Bulbophyllum analamazoatrae","Threatened"
"Bulbophyllum anjozorobeense","Threatened"
"Bulbophyllum ankylochele","Not Threatened"
"Bulbophyllum ankylorhinon","Not Threatened"
"Bulbophyllum antennatum","Not Threatened"
"Bulbophyllum atrosanguineum","Threatened"
"Bulbophyllum auriflorum","Threatened"
"Bulbophyllum ballii","Not Threatened"
"Bulbophyllum baronii","Threatened"
"Bulbophyllum betchei","Not Threatened"
"Bulbophyllum bicoloratum","Threatened"
"Bulbophyllum bifarium","Not Threatened"
"Bulbophyllum bigibbum","Not Threatened"
"Bulbophyllum bliteum","Threatened"
"Bulbophyllum brachypetalum","Not Threatened"
"Bulbophyllum brassii","Not Threatened"
"Bulbophyllum breviflorum","Not Threatened"
"Bulbophyllum bryophilum","Threatened"
"Bulbophyllum callichroma","Not Threatened"
"Bulbophyllum callosum","Threatened"
"Bulbophyllum calviventer","Not Threatened"
"Bulbophyllum calvum","Threatened"
"Bulbophyllum calyptropus","Threatened"
"Bulbophyllum cardiobulbum","Threatened"
"Bulbophyllum cateorum","Not Threatened"
"Bulbophyllum cauliflorum","Not Threatened"
"Bulbophyllum ceriodorum","Threatened"
"Bulbophyllum colliferum","Not Threatened"
"Bulbophyllum concatenatum","Threatened"
"Bulbophyllum cruttwellii","Not Threatened"
"Bulbophyllum cycloglossum","Not Threatened"
"Bulbophyllum debile","Threatened"
"Bulbophyllum dekockii","Not Threatened"
"Bulbophyllum delitescens","Threatened"
"Bulbophyllum dendrochiloides","Not Threatened"
"Bulbophyllum desmotrichoides","Not Threatened"
"Bulbophyllum discolor","Not Threatened"
"Bulbophyllum encephalodes","Threatened"
"Bulbophyllum erinaceum","Not Threatened"
"Bulbophyllum erythroglossum","Threatened"
"Bulbophyllum fayi","Threatened"
"Bulbophyllum fonsflorum","Not Threatened"
"Bulbophyllum fractiflexum","Not Threatened"
"Bulbophyllum grammopoma","Not Threatened"
"Bulbophyllum gravidum","Threatened"
"Bulbophyllum gyaloglossum","Not Threatened"
"Bulbophyllum hamelinii","Threatened"
"Bulbophyllum hirsutiusculum","Threatened"
"Bulbophyllum hirudiniferum","Threatened"
"Bulbophyllum horizontale","Threatened"
"Bulbophyllum imitator","Not Threatened"
"Bulbophyllum ischnopus","Not Threatened"
"Bulbophyllum jaapii","Threatened"
"Bulbophyllum jumelleanum","Threatened"
"Bulbophyllum kainochiloides","Threatened"
"Bulbophyllum latisepalum","Not Threatened"
"Bulbophyllum leniae","Not Threatened"
"Bulbophyllum leopardinum","Not Threatened"
"Bulbophyllum lepanthiflorum","Not Threatened"
"Bulbophyllum leptoleucum","Not Threatened"
"Bulbophyllum leucothyrsus","Not Threatened"
"Bulbophyllum lizae","Not Threatened"
"Bulbophyllum macilentum","Not Threatened"
"Bulbophyllum macneiceae","Not Threatened"
"Bulbophyllum macranthum","Not Threatened"
"Bulbophyllum macrorhopalon","Not Threatened"
"Bulbophyllum macrourum","Not Threatened"
"Bulbophyllum mediocre","Threatened"
"Bulbophyllum mesodon","Not Threatened"
"Bulbophyllum minax","Threatened"
"Bulbophyllum minutipetalum","Not Threatened"
"Bulbophyllum minutissimum","Not Threatened"
"Bulbophyllum mischobulbon","Not Threatened"
"Bulbophyllum moratii","Not Threatened"
"Bulbophyllum multiflorum","Threatened"
"Bulbophyllum myon","Not Threatened"
"Bulbophyllum nigericum","Threatened"
"Bulbophyllum octarrhenipetalum","Not Threatened"
"Bulbophyllum oliganthum","Not Threatened"
"Bulbophyllum olivinum","Not Threatened"
"Bulbophyllum oreodoxa","Not Threatened"
"Bulbophyllum ortalis","Not Threatened"
"Bulbophyllum pachytelos","Not Threatened"
"Bulbophyllum paleiferum","Threatened"
"Bulbophyllum pandanetorum","Threatened"
"Bulbophyllum patella","Not Threatened"
"Bulbophyllum peltopus","Not Threatened"
"Bulbophyllum peyrotii","Threatened"
"Bulbophyllum phormion","Not Threatened"
"Bulbophyllum pidacanthum","Not Threatened"
"Bulbophyllum porphyrostachys","Threatened"
"Bulbophyllum posticum","Not Threatened"
"Bulbophyllum quasimodo","Not Threatened"
"Bulbophyllum radicans","Not Threatened"
"Bulbophyllum reevei","Not Threatened"
"Bulbophyllum regnellii","Not Threatened"
"Bulbophyllum renkinianum","Threatened"
"Bulbophyllum restrepia","Threatened"
"Bulbophyllum rhodoleucum","Not Threatened"
"Bulbophyllum rubrolabellum","Threatened"
"Bulbophyllum rubrum","Not Threatened"
"Bulbophyllum sandrangatense","Threatened"
"Bulbophyllum sceliphron","Not Threatened"
"Bulbophyllum scopa","Not Threatened"
"Bulbophyllum scutiferum","Not Threatened"
"Bulbophyllum simile","Not Threatened"
"Bulbophyllum stipulaceum","Not Threatened"
"Bulbophyllum subligaculiferum","Threatened"
"Bulbophyllum subpatulum","Not Threatened"
"Bulbophyllum sulfureum","Threatened"
"Bulbophyllum tampoketsense","Not Threatened"
"Bulbophyllum tarantula","Not Threatened"
"Bulbophyllum thelantyx","Not Threatened"
"Bulbophyllum tinekeae","Not Threatened"
"Bulbophyllum tokioi","Threatened"
"Bulbophyllum trachypus","Not Threatened"
"Bulbophyllum trifilum","Not Threatened"
"Bulbophyllum trirhopalon","Not Threatened"
"Bulbophyllum uroplatoides","Threatened"
"Bulbophyllum xanthochlamys","Not Threatened"
"Bulbophyllum zaratananae","Threatened"
"Bulleyia yunnanensis","Threatened"
"Caladenia brownii","Not Threatened"
"Caladenia catenata","Not Threatened"
"Caladenia citrina","Not Threatened"
"Caladenia cracens","Not Threatened"
"Caladenia dimorpha","Not Threatened"
"Caladenia dundasiae","Threatened"
"Caladenia hastata","Threatened"
"Caladenia incensa","Not Threatened"
"Caladenia mesocera","Not Threatened"
"Caladenia radialis","Not Threatened"
"Caladenia radiata","Not Threatened"
"Caladenia splendens","Not Threatened"
"Calanthe caulescens","Not Threatened"
"Calanthe ecallosa","Threatened"
"Calanthe fargesii","Threatened"
"Calanthe madagascariensis","Threatened"
"Calanthe versteegii","Not Threatened"
"Calopogon multiflorus","Not Threatened"
"Calopogon tuberosus","Not Threatened"
"Campylocentrum tyrridion","Not Threatened"
"Catasetum barbatum","Not Threatened"
"Catasetum tuberculatum","Not Threatened"
"Ceratostylis anceps","Not Threatened"
"Ceratostylis micrantha","Not Threatened"
"Chamorchis alpina","Not Threatened"
"Changnienia amoena","Threatened"
"Cheirostylis bidentata","Not Threatened"
"Cheirostylis notialis","Not Threatened"
"Claderia viridiflora","Not Threatened"
"Cleistes ionoglossa","Not Threatened"
"Cochleanthes trinitatis","Threatened"
"Coelogyne foerstermannii","Not Threatened"
"Coelogyne rigida","Not Threatened"
"Conchidium pusillum","Not Threatened"
"Corallorhiza bentleyi","Threatened"
