"species","status"
"Acianthera chrysantha","CR"
"Acianthera hondurensis","LC"
"Acianthera malachantha","VU"
"Acianthera saundersiana","LC"
"Aerangis gracillima","EXT"
"Aerangis hyaloides","EN"
"Aerangis macrocentra","EN"
"Aerangis monantha","EN"
"Aerangis pallidiflora","VU"
"Aerangis punctata","EN"
"Aerangis seegeri","VU"
"Aeranthes angustidens","EN"
"Aeranthes antennophora","EN"
"Aeranthes ecalcarata","EN"
"Aeranthes leandriana","EN"
"Aeranthes multinodis","CR"
"Aeranthes polyanthemus","EN"
"Aeranthes schlechteri","VU"
"Aeranthes setipes","EN"
"Aeranthes strangulata","VU"
"Aeranthes tropophila","EN"
"Agrostophyllum cyathiforme","LC"
"Agrostophyllum laterale","LC"
"Altensteinia longispicata","LC"
"Amitostigma capitatum","EN"
"Amitostigma hemipilioides","EN"
"Amitostigma simplex","EN"
"Amitostigma tetralobum","EN"
"Anacamptis boryi","VU"
"Anacamptis palustris","LC"
"Anacamptis sancta","LC"
"Anathallis minutalis","LC"
"Ancistrochilus thomsonianus","CR"
"Ancistrorhynchus crystalensis","EXT"
"Ancistrorhynchus laxiflorus","EN"
"Ancistrorhynchus parviflorus","LC"
"Ancistrorhynchus refractus","EN"
"Ancistrorhynchus serratus","EXT"
"Ancistrorhynchus tenuicaulis","VU"
"Angraecopsis cryptantha","EXT"
"Angraecopsis lisowskii","EXT"
"Angraecopsis parva","LC"
"Angraecopsis tenerrima","EN"
"Angraecopsis tridens","EN"
"Angraecum alleizettei","EN"
"Angraecum amplexicaule","EN"
"Angraecum angustum","EXT"
"Angraecum ankeranense","EN"
"Angraecum aporoides","EN"
"Angraecum atlanticum","EN"
"Angraecum bancoense","LC"
"Angraecum bicallosum","EN"
"Angraecum compactum","LC"
"Angraecum cornucopiae","EN"
"Angraecum coutrixii","EN"
"Angraecum cribbianum","CR"
"Angraecum curvipes","EXT"
"Angraecum danguyanum","VU"
"Angraecum dendrobiopsis","VU"
"Angraecum distichum","LC"
"Angraecum doratophyllum","EXT"
"Angraecum egertonii","EXT"
"Angraecum gabonense","LC"
"Angraecum humbertii","EN"
"Angraecum humblotianum","EN"
"Angraecum mahavavense","EN"
"Angraecum moratii","EN"
"Angraecum obesum","EN"
"Angraecum penzigianum","EN"
"Angraecum perhumile","EN"
"Angraecum peyrotii","CR"
"Angraecum pinifolium","EN"
"Angraecum podochiloides","LC"
"Angraecum potamophilum","EN"
"Angraecum protensum","LC"
"Angraecum pseudodidieri","EN"
"Angraecum pseudofilicornu","VU"
"Angraecum pungens","EN"
"Angraecum pyriforme","VU"
"Angraecum rigidifolium","CR"
"Angraecum rubellum","EN"
"Angraecum sambiranoense","EN"
"Angraecum sanfordii","EXT"
"Angraecum serpens","CR"
"Angraecum setipes","EN"
"Angraecum sterrophyllum","EN"
"Angraecum subulatum","LC"
"Angraecum triangulifolium","EN"
"Anguloa cliftonii","CR"
"Anoectochilus sandvicensis","VU"
"Anoectochilus zhejiangensis","EN"
"Ansellia africana","VU"
"Appendicula calcarata","LC"
"Appendicula longirostrata","LC"
"Appendicula tenuispica","LC"
"Arethusa bulbosa","LC"
"Barbosella geminata","LC"
"Barkeria naevosa","LC"
"Bartholina etheliae","VU"
"Basiphyllaea corallicola","LC"
"Benthamia calceolata","EN"
"Benthamia elata","EN"
"Benthamia glaberrima","EN"
"Benthamia humbertii","EN"
"Benthamia monophylla","EN"
"Benthamia nigrescens","EN"
"Benthamia nivea","EN"
"Benthamia perularioides","EN"
"Benthamia praecox","EN"
"Benthamia procera","EN"
"Benthamia rostrata","EN"
