"species","status"
"Aa achalensis","LC"
"Aa argyrolepis","LC"
"Aa calceata","LC"
"Aa colombiana","LC"
"Aa denticulata","LC"
"Aa fiebrigii","LC"
"Aa hartwegii","LC"
"Aa hieronymi","LC"
"Aa leucantha","LC"
"Aa macra","LC"
"Aa maderoi","LC"
"Aa mandonii","EXT"
"Aa matthewsii","LC"
"Aa microtidis","EN"
"Aa paleacea","LC"
"Aa riobambae","LC"
"Aa sphaeroglossa","EN"
"Aa trilobulata","EN"
"Aa weddelliana","LC"
"Abdominea minimiflora","CR"
"Acampe ochracea","EN"
"Acampe pachyglossa","LC"
"Acampe praemorsa","EN"
"Acampe rigida","LC"
"Acanthophippium striatum","LC"
"Acianthera adamantinensis","EN"
"Acianthera angustifolia","LC"
"Acianthera angustisepala","LC"
"Acianthera aphthosa","LC"
"Acianthera auriculata","LC"
"Acianthera bidentula","LC"
"Acianthera binotii","LC"
"Acianthera bragae","LC"
"Acianthera capillaris","EN"
"Acianthera chrysantha","EN"
"Acianthera ciliata","LC"
"Acianthera circumplexa","LC"
"Acianthera cogniauxiana","LC"
"Acianthera cordatifolia","EN"
"Acianthera crinita","EN"
"Acianthera cryptantha","LC"
"Acianthera cryptophoranthoides","EN"
"Acianthera decipiens","LC"
"Acianthera decurrens","CR"
"Acianthera discophylla","LC"
"Acianthera duartei","EXT"
"Acianthera dutrae","EXT"
"Acianthera ellipsophylla","LC"
"Acianthera erebatensis","LC"
"Acianthera erosa","LC"
"Acianthera erythrogramma","LC"
"Acianthera exarticulata","LC"
"Acianthera eximia","LC"
"Acianthera fabiobarrosii","EN"
"Acianthera fenestrata","LC"
"Acianthera fockei","LC"
"Acianthera fornograndensis","EN"
"Acianthera geminicaulina","LC"
"Acianthera glanduligera","LC"
"Acianthera glumacea","LC"
"Acianthera gracilisepala","LC"
"Acianthera heringeri","EN"
"Acianthera herzogii","LC"
"Acianthera hirsutula","LC"
"Acianthera hoffmannseggiana","EN"
"Acianthera hondurensis","LC"
"Acianthera hygrophila","LC"
"Acianthera hystrix","LC"
"Acianthera johannensis","LC"
"Acianthera johnsonii","EN"
"Acianthera juxtaposita","LC"
"Acianthera klotzschiana","LC"
"Acianthera leptotifolia","LC"
"Acianthera limae","LC"
"Acianthera lojae","LC"
"Acianthera luteola","LC"
"Acianthera macropoda","LC"
"Acianthera majakoluckae","EN"
"Acianthera malachantha","EN"
"Acianthera micrantha","LC"
"Acianthera miqueliana","LC"
"Acianthera modestissima","LC"
"Acianthera murexoidea","LC"
"Acianthera nemorosa","LC"
"Acianthera ochreata","LC"
"Acianthera octophrys","EN"
"Acianthera oligantha","LC"
"Acianthera panduripetala","LC"
"Acianthera pantasmi","LC"
"Acianthera pardipes","LC"
"Acianthera parva","LC"
"Acianthera pectinata","LC"
"Acianthera polystachya","LC"
"Acianthera prolifera","LC"
"Acianthera pubescens","LC"
"Acianthera quadriserrata","LC"
"Acianthera ramosa","EN"
"Acianthera recurva","LC"
"Acianthera rostellata","LC"
"Acianthera saundersiana","LC"
"Acianthera saurocephala","LC"
"Acianthera serpentula","LC"
"Acianthera sicaria","LC"
"Acianthera sonderiana","LC"
"Acianthera strupifolia","LC"
"Acianthera teres","LC"
"Acianthera tikalensis","LC"
"Acianthera translucida","LC"
"Acianthera tristis","EN"
"Acianthera unguicallosa","CR"
"Acianthera violaceomaculata","EN"
"Acianthera wageneriana","LC"
"Acianthera yauaperyensis","EN"
"Acianthus aegeridantennatus","LC"
"Acianthus amplexicaulis","LC"
"Acianthus atepalus","LC"
"Acianthus bracteatus","EN"
"Acianthus caudatus","LC"
"Acianthus confusus","LC"
"Acianthus corniculatus","EN"
"Acianthus cymbalariifolius","LC"
"Acianthus elegans","LC"
"Acianthus exsertus","LC"
"Acianthus fornicatus","LC"
"Acianthus grandiflorus","LC"
"Acianthus halleanus","LC"
"Acianthus heptadactylus","LC"
"Acianthus macroglossus","LC"
"Acianthus sinclairii","LC"
"Acianthus tenuilabris","LC"
"Acianthus veillonis","LC"
"Acineta alticola","LC"
"Acineta barkeri","LC"
"Acineta chrysantha","LC"
"Acineta cryptodonta","EN"
"Acineta densa","LC"
"Acineta hagsateri","LC"
"Acineta hrubyana","LC"
"Acineta salazarii","LC"
"Acineta superba","LC"
"Acriopsis densiflora","EN"
"Acriopsis emarginata","LC"
"Acriopsis gracilis","EN"
"Acriopsis indica","EN"
"Acriopsis liliifolia","LC"
"Acriopsis ridleyi","EN"
"Acrolophia bolusii","LC"
"Acrolophia capensis","LC"
"Acrolophia cochlearis","LC"
"Acrolophia lamellata","LC"
"Acrolophia lunata","EN"
"Acrolophia micrantha","LC"
