"species","status"
"Aa achalensis","LC"
"Aa argyrolepis","LC"
"Aa calceata","LC"
"Aa colombiana","LC"
"Aa denticulata","LC"
"Aa fiebrigii","LC"
"Aa hartwegii","LC"
"Aa hieronymi","EN"
"Aa leucantha","LC"
"Aa macra","LC"
"Aa maderoi","LC"
"Aa mandonii","LC"
"Aa matthewsii","LC"
"Aa microtidis","EN"
"Aa paleacea","LC"
"Aa riobambae","LC"
"Aa sphaeroglossa","EN"
"Aa trilobulata","EN"
"Aa weddelliana","LC"
"Abdominea minimiflora","EN"
"Acampe ochracea","EN"
"Acampe pachyglossa","LC"
"Acampe praemorsa","EN"
"Acampe rigida","EN"
"Acanthophippium striatum","LC"
"Acianthera adamantinensis","LC"
"Acianthera angustifolia","LC"
"Acianthera angustisepala","LC"
"Acianthera aphthosa","LC"
"Acianthera auriculata","LC"
"Acianthera bidentula","LC"
"Acianthera binotii","LC"
"Acianthera bragae","LC"
"Acianthera capillaris","LC"
"Acianthera chrysantha","LC"
"Acianthera ciliata","LC"
"Acianthera circumplexa","LC"
"Acianthera cogniauxiana","LC"
"Acianthera cordatifolia","LC"
"Acianthera crinita","EN"
"Acianthera cryptantha","LC"
"Acianthera cryptophoranthoides","EN"
"Acianthera decipiens","LC"
"Acianthera decurrens","CR"
"Acianthera discophylla","LC"
"Acianthera duartei","EN"
"Acianthera dutrae","LC"
"Acianthera ellipsophylla","LC"
"Acianthera erebatensis","EN"
"Acianthera erosa","LC"
"Acianthera erythrogramma","EN"
"Acianthera exarticulata","LC"
"Acianthera eximia","LC"
"Acianthera fabiobarrosii","LC"
"Acianthera fenestrata","LC"
"Acianthera fockei","LC"
"Acianthera fornograndensis","EN"
"Acianthera geminicaulina","LC"
"Acianthera glanduligera","EN"
"Acianthera glumacea","LC"
"Acianthera gracilisepala","LC"
"Acianthera heringeri","EN"
"Acianthera herzogii","EN"
"Acianthera hirsutula","LC"
"Acianthera hoffmannseggiana","LC"
"Acianthera hondurensis","LC"
"Acianthera hygrophila","LC"
"Acianthera hystrix","LC"
"Acianthera johannensis","LC"
"Acianthera johnsonii","EN"
"Acianthera juxtaposita","LC"
"Acianthera klotzschiana","LC"
"Acianthera leptotifolia","LC"
"Acianthera limae","LC"
"Acianthera lojae","LC"
"Acianthera luteola","LC"
"Acianthera macropoda","LC"
"Acianthera majakoluckae","LC"
"Acianthera malachantha","VU"
"Acianthera micrantha","LC"
"Acianthera miqueliana","LC"
"Acianthera modestissima","LC"
"Acianthera murexoidea","LC"
"Acianthera nemorosa","LC"
"Acianthera ochreata","LC"
"Acianthera octophrys","LC"
"Acianthera oligantha","LC"
"Acianthera panduripetala","LC"
"Acianthera pantasmi","LC"
"Acianthera pardipes","EN"
"Acianthera parva","EN"
"Acianthera pectinata","LC"
"Acianthera polystachya","LC"
"Acianthera prolifera","LC"
"Acianthera pubescens","LC"
"Acianthera quadriserrata","LC"
"Acianthera ramosa","EN"
"Acianthera recurva","LC"
"Acianthera rostellata","EN"
"Acianthera saundersiana","LC"
"Acianthera saurocephala","LC"
"Acianthera serpentula","LC"
"Acianthera sicaria","LC"
"Acianthera sonderiana","LC"
"Acianthera strupifolia","LC"
"Acianthera teres","LC"
"Acianthera tikalensis","LC"
"Acianthera translucida","LC"
"Acianthera tristis","EN"
"Acianthera unguicallosa","CR"
"Acianthera violaceomaculata","EN"
"Acianthera wageneriana","LC"
"Acianthera yauaperyensis","CR"
"Acianthus aegeridantennatus","LC"
"Acianthus amplexicaulis","LC"
"Acianthus atepalus","LC"
"Acianthus bracteatus","LC"
"Acianthus caudatus","LC"
"Acianthus confusus","LC"
"Acianthus corniculatus","LC"
"Acianthus cymbalariifolius","LC"
"Acianthus elegans","LC"
"Acianthus exsertus","LC"
"Acianthus fornicatus","LC"
"Acianthus grandiflorus","LC"
"Acianthus halleanus","LC"
"Acianthus heptadactylus","LC"
"Acianthus macroglossus","LC"
"Acianthus sinclairii","LC"
"Acianthus tenuilabris","LC"
"Acianthus veillonis","LC"
"Acineta alticola","LC"
"Acineta barkeri","LC"
"Acineta chrysantha","LC"
"Acineta cryptodonta","EN"
"Acineta densa","LC"
"Acineta hagsateri","LC"
"Acineta hrubyana","LC"
"Acineta salazarii","LC"
"Acineta superba","LC"
"Acriopsis densiflora","LC"
"Acriopsis emarginata","LC"
"Acriopsis gracilis","LC"
"Acriopsis indica","LC"
"Acriopsis liliifolia","LC"
"Acriopsis ridleyi","LC"
"Acrolophia bolusii","LC"
"Acrolophia capensis","LC"
"Acrolophia cochlearis","LC"
"Acrolophia lamellata","LC"
"Acrolophia lunata","LC"
"Acrolophia micrantha","LC"
