"species","status"
"Acianthera chrysantha","LC"
"Acianthera hondurensis","LC"
"Acianthera malachantha","VU"
"Acianthera saundersiana","LC"
"Aerangis gracillima","LC"
"Aerangis hyaloides","VU"
"Aerangis macrocentra","NT"
"Aerangis monantha","EN"
"Aerangis pallidiflora","VU"
"Aerangis punctata","NT"
"Aerangis seegeri","VU"
"Aeranthes angustidens","VU"
"Aeranthes antennophora","EN"
"Aeranthes ecalcarata","LC"
"Aeranthes leandriana","CR"
"Aeranthes multinodis","CR"
"Aeranthes polyanthemus","EN"
"Aeranthes schlechteri","VU"
"Aeranthes setipes","EN"
"Aeranthes strangulata","VU"
"Aeranthes tropophila","EN"
"Agrostophyllum cyathiforme","LC"
"Agrostophyllum laterale","VU"
"Altensteinia longispicata","VU"
"Amitostigma capitatum","EN"
"Amitostigma hemipilioides","EN"
"Amitostigma simplex","EN"
"Amitostigma tetralobum","EN"
"Anacamptis boryi","VU"
"Anacamptis palustris","LC"
"Anacamptis sancta","LC"
"Anathallis minutalis","LC"
"Ancistrochilus thomsonianus","LC"
"Ancistrorhynchus crystalensis","EN"
"Ancistrorhynchus laxiflorus","VU"
"Ancistrorhynchus parviflorus","LC"
"Ancistrorhynchus refractus","EN"
"Ancistrorhynchus serratus","NT"
"Ancistrorhynchus tenuicaulis","VU"
"Angraecopsis cryptantha","VU"
"Angraecopsis lisowskii","EN"
"Angraecopsis parva","VU"
"Angraecopsis tenerrima","EN"
"Angraecopsis tridens","NT"
"Angraecum alleizettei","EN"
"Angraecum amplexicaule","EN"
"Angraecum angustum","EN"
"Angraecum ankeranense","EN"
"Angraecum aporoides","LC"
"Angraecum atlanticum","NT"
"Angraecum bancoense","LC"
"Angraecum bicallosum","EN"
"Angraecum compactum","LC"
"Angraecum cornucopiae","EN"
"Angraecum coutrixii","EN"
"Angraecum cribbianum","CR"
"Angraecum curvipes","EN"
"Angraecum danguyanum","VU"
"Angraecum dendrobiopsis","VU"
"Angraecum distichum","LC"
"Angraecum doratophyllum","EN"
"Angraecum egertonii","VU"
"Angraecum gabonense","LC"
"Angraecum humbertii","EN"
"Angraecum humblotianum","EN"
"Angraecum mahavavense","CR"
"Angraecum moratii","EN"
"Angraecum obesum","EN"
"Angraecum penzigianum","NT"
"Angraecum perhumile","CR"
"Angraecum peyrotii","CR"
"Angraecum pinifolium","EN"
"Angraecum podochiloides","LC"
"Angraecum potamophilum","CR"
"Angraecum protensum","EN"
"Angraecum pseudodidieri","EN"
"Angraecum pseudofilicornu","VU"
"Angraecum pungens","VU"
"Angraecum pyriforme","VU"
"Angraecum rigidifolium","CR"
"Angraecum rubellum","CR"
"Angraecum sambiranoense","EN"
"Angraecum sanfordii","EN"
"Angraecum serpens","CR"
"Angraecum setipes","VU"
"Angraecum sterrophyllum","CR"
"Angraecum subulatum","LC"
"Angraecum triangulifolium","EN"
"Anguloa cliftonii","CR"
"Anoectochilus sandvicensis","VU"
"Anoectochilus zhejiangensis","EN"
"Ansellia africana","VU"
"Appendicula calcarata","LC"
"Appendicula longirostrata","LC"
"Appendicula tenuispica","NT"
"Arethusa bulbosa","LC"
"Barbosella geminata","NT"
"Barkeria naevosa","LC"
"Bartholina etheliae","VU"
"Basiphyllaea corallicola","LC"
"Benthamia calceolata","EN"
"Benthamia elata","EN"
"Benthamia glaberrima","NT"
"Benthamia humbertii","EN"
"Benthamia monophylla","NT"
"Benthamia nigrescens","EN"
"Benthamia nivea","EN"
"Benthamia perularioides","VU"
"Benthamia praecox","EN"
"Benthamia procera","EN"
"Benthamia rostrata","EN"
"Bletia ensifolia","LC"
"Brachionidium dressleri","EN"
"Brachionidium pteroglossum","CR"
"Brachycorythis disoides","VU"
"Brassia lanceana","LC"
"Brassia maculata","LC"
"Brassia verrucosa","LC"
"Brassia wageneri","LC"
"Bromheadia finlaysoniana","LC"
"Broughtonia negrilensis","EN"
"Bryobium eriaeoides","LC"
"Bulbophyllum aggregatum","VU"
"Bulbophyllum alveatum","VU"
"Bulbophyllum analamazoatrae","NT"
"Bulbophyllum anjozorobeense","EN"
"Bulbophyllum ankylochele","LC"
"Bulbophyllum ankylorhinon","LC"
"Bulbophyllum antennatum","LC"
"Bulbophyllum atrosanguineum","VU"
"Bulbophyllum auriflorum","EN"
"Bulbophyllum ballii","LC"
"Bulbophyllum baronii","LC"
"Bulbophyllum betchei","LC"
"Bulbophyllum bicoloratum","LC"
"Bulbophyllum bifarium","VU"
"Bulbophyllum bigibbum","LC"
"Bulbophyllum bliteum","EN"
"Bulbophyllum brachypetalum","LC"
"Bulbophyllum brassii","LC"
"Bulbophyllum breviflorum","NT"
"Bulbophyllum bryophilum","EN"
"Bulbophyllum callichroma","LC"
"Bulbophyllum callosum","EN"
"Bulbophyllum calviventer","LC"
"Bulbophyllum calvum","VU"
"Bulbophyllum calyptropus","VU"
"Bulbophyllum cardiobulbum","EN"
"Bulbophyllum cateorum","LC"
"Bulbophyllum cauliflorum","LC"
"Bulbophyllum ceriodorum","CR"
"Bulbophyllum colliferum","LC"
"Bulbophyllum concatenatum","EN"
"Bulbophyllum cruttwellii","LC"
"Bulbophyllum cycloglossum","LC"
"Bulbophyllum debile","EN"
"Bulbophyllum dekockii","LC"
"Bulbophyllum delitescens","LC"
"Bulbophyllum dendrochiloides","LC"
"Bulbophyllum desmotrichoides","LC"
"Bulbophyllum discolor","LC"
"Bulbophyllum encephalodes","LC"
"Bulbophyllum erinaceum","LC"
"Bulbophyllum erythroglossum","CR"
"Bulbophyllum fayi","VU"
"Bulbophyllum fonsflorum","LC"
"Bulbophyllum fractiflexum","LC"
"Bulbophyllum grammopoma","LC"
"Bulbophyllum gravidum","VU"
"Bulbophyllum gyaloglossum","LC"
"Bulbophyllum hamelinii","VU"
"Bulbophyllum hirsutiusculum","CR"
"Bulbophyllum hirudiniferum","VU"
"Bulbophyllum horizontale","EN"
"Bulbophyllum imitator","LC"
"Bulbophyllum ischnopus","LC"
"Bulbophyllum jaapii","CR"
"Bulbophyllum jumelleanum","EN"
